,steer,nombre,vitesse
526,-0.01,25881.0,20.0
527,-0.01,25880.0,20.0
528,-0.01,25883.0,21.0
529,-0.01,25882.0,21.0
530,-0.01,25884.0,21.0
531,-0.02,25886.0,22.0
532,-0.02,25887.0,22.0
533,-0.01,25888.0,22.0
534,-0.0,25889.0,22.0
535,-0.0,25890.0,22.0
536,0.0,25891.0,22.0
537,0.01,25892.0,22.0
538,0.01,25893.0,22.0
539,0.0,25894.0,22.0
540,0.0,25895.0,21.0
541,0.01,25896.0,21.0
542,0.0,25897.0,21.0
543,0.0,25898.0,21.0
544,-0.0,25899.0,20.0
545,-0.0,25900.0,20.0
546,0.0,25902.0,20.0
547,0.0,25901.0,20.0
548,0.0,25903.0,20.0
549,-0.0,25904.0,20.0
550,-0.0,25905.0,20.0
551,-0.02,25906.0,21.0
552,-0.02,25907.0,21.0
553,-0.01,25910.0,22.0
554,-0.01,25911.0,22.0
555,-0.01,25909.0,22.0
556,-0.01,25908.0,21.0
557,-0.0,25913.0,22.0
558,-0.0,25912.0,22.0
559,0.0,25914.0,22.0
560,0.0,25915.0,22.0
561,0.0,25917.0,22.0
562,0.0,25916.0,22.0
563,-0.0,25919.0,21.0
564,0.01,25918.0,21.0
565,0.0,25920.0,20.0
566,-0.01,25921.0,16.0
567,-0.24,25923.0,8.0
568,-0.18,25922.0,12.0
569,-0.24,25924.0,8.0
570,-0.25,25941.0,1.0
571,-0.2,25944.0,5.0
572,-0.2,25943.0,5.0
573,-0.24,25942.0,3.0
574,-0.19,25945.0,8.0
575,-0.19,25946.0,8.0
576,-0.18,25947.0,9.0
577,-0.18,25948.0,10.0
578,-0.16,25949.0,12.0
579,-0.15,25950.0,13.0
580,-0.14,25951.0,14.0
581,-0.14,25952.0,14.0
582,-0.13,25953.0,15.0
583,0.0,25954.0,18.0
584,0.0,25955.0,18.0
585,3.32,25957.0,20.0
586,3.28,25956.0,19.0
587,3.09,25958.0,21.0
588,13.01,25959.0,20.0
589,13.01,25960.0,20.0
590,13.26,25961.0,20.0
591,23.86,25964.0,20.0
592,23.86,25963.0,20.0
593,22.13,25965.0,21.0
594,22.13,25966.0,21.0
595,31.98,25967.0,23.0
596,38.99,25970.0,25.0
597,38.99,25969.0,25.0
598,31.98,25968.0,23.0
599,30.21,25972.0,27.0
